review,sentiment,verified,topic,sentiment_mostly,topic_label
went three flights reach destination ba flights without exception delayed way destination back destination understandable extent whats understandable werent prepared one flights delayed almost hour ended missing flight rebooked 24h ahead providing accommodation messed well 30 hours traveling wait hope hotel would find extra room since ba didnt communicate properly gave ba chance correct mistake contacting flights answer lot serious complaints involved flights tell contact partners last flight went smoothly nothing previously addressed complaints contacted gave week asking didnt address complaints partner could nothing ghosted 210 kind personnel thats holding airline together though,0.03,1,4,negative,flight-ba-us-hours-london
excellent flight club world british airways welcome aboard warm continued throughout flight crew attentive friendly professional board food dinner breakfast good well chosen selection wines flight entertainment offered great selection films audio seatflat bed comfortable british airways done excellent job design comfort suites board a350 liked sleek minimalist design flight showed ba among worlds best airlines,0.5660714285714284,1,8,positive,good-flight-food-crew-cabin
flight schedule delayed one hour boarding plane delayed least another 30 minutes arrived london delayed least another 30 minutes find gate left 45 minutes catch connecting flight barcelona needed run take train different terminal catch next connecting flight arrived barcelona airport discovered check luggage still london painful trip disrupted vacation flying ba anymore find alternative airlines,-0.2157142857142857,1,4,negative,flight-ba-us-hours-london
worst experience years travel first flight two kids boston london delayed 2 hours resulting missing connecting flight despite layover approximately 25 hours ended waiting 430 pm board flight cairo unfortunately even flight delayed would strongly advise avoiding particular airline even means paying bit different option,-0.0833333333333333,1,4,negative,flight-ba-us-hours-london
worst experience years travel bag destroyed flight delayed 3 hours couldnt get water board attempting claim website entire site failed dropdown menu wouldnt work cant contact plane filthy someone elses belongings left food still seat,-0.4599999999999999,1,4,negative,flight-ba-us-hours-london
terrible delays rebook domestic travel 5 passengers havent received reimbursement lost luggage received luggage 4 days purchase new clothes family wedding customer service rep picks phone,-0.2159090909090909,1,4,negative,flight-ba-us-hours-london
serious medical problem appeared onboard informed crew helped unfortunately transit travelling became difficult unwell became also could find way back home condition thankfully crew helped every step journey returned back home stressful experience crew british airways made way tolerable,-0.0925925925925925,1,7,negative,seat-economy-flight-seats-premium
havent flown british airways never fly checkin process terrible slow 30 people regular check line two agents working one agent working first class line take long check people especially people checked online ahead time group checked online almost missed plane slow counter service run gate make terrible,-0.29,1,4,negative,flight-ba-us-hours-london
itinerary supposed las vegaschicagolondonvenice landed london heathrow stuck aircraft 2 hours explanation delay missed connecting flight venice getting plane real nightmare took place flight 300 people aboard meaning many rush get flights already missed flight put us two lines one people missed flight waited approximately 10 minutes come clerk told since missed flight would go connecting flight ba service desks assistance known information would receive would skipped line altogether went service desk 60 people standing line waited 30 minutes clerk came passing everyone pamphlet telling people create account online book flights ba site since systems couldnt rebook anyone hassle anything ba site ended calling helpline waiting connected ba rep spoke woman said would call iberia airlines rebook called iberia said since booked expedia would call expedia said would call ba rebook called ba rep said flight could get booked following monday mind travelling since 25th friday hotels vicinity airport booked trying figure checked baggage went still dont customer service got ba reps horrible service could care less predicament company caused acted like inconveniencing issues also sleep airport waiting flight next morning hotels booked overall experience british airlines worst airline experience ive ever deal never book company would rather pay money ticket different airline buy company,-0.027485380116959,0,4,negative,flight-ba-us-hours-london
busy day lhr flight full lounge crowded b gates lounge quieter flight left time professional crew greeted name executive club status acknowledged thanked return custom nice touch service good food average entertainment good early arrival quick processing jfk good,0.3239393939393939,1,3,positive,flight-lounge-good-boarding-time
worst seats ever encountered economy class leg room spread legs fit staff terminal rude business class offers seat legroom block middle seat cram people seats legroom block seat type front plane legroom business class passenger empty seat plane old onboard entertainment 3 hours flight last time fly british airways,0.0714285714285714,1,2,negative,class-business-ba-first-food
top ten reasons use british airways aware notice travel risk travelled years many different airlines say british airways ranks one top two horrible airlines fly dont waste time money customer service nonexistent please notice purchase ticket money kiss customer service help resolving issue goodbye used travel europe worst experience airline years work hard save money travel expect good experience welp company sure makes millions customers per year understand sometimes things happen started right booked flight bad experience end set foot back hometown please take note 1 customer service number buried internet listed website google still got run around someone finally answered trust number secret 2 finally find customer service number long wait someone answers resolve issues instead pass buck whatever airlines sold ticket one takes ownership 4 airlines operates 365 days year around clock doesnt customer service reps help customer british airways thats 5 cancel flight without notice notify email text 6 primary ticket get notifications even primary may may get notifications 7 pay seats pick doesnt matter cancel seats refund money play stupid 8 flight may cheaper done paying seats 9 route another partner airline notify 10 connecting flight cancel one leg notify never use review helps one person heeds advice job done,0.0472085385878489,0,6,negative,airways-british-ba-flight-seats
easy check way heathrow flight time issues return flight valencia booked afternoon long haul flight arrived early heathrow another airline connecting flight asked british airways check could put onto morning flight back valencia avoid seven hours waiting heathrow flights changed cost checked within five minutes indeed customer service thank,0.0966666666666666,0,4,neutral,flight-ba-us-hours-london
online check worked fine quick security check onboard quick flight glasgow water snack provided pleased cheap quick efficient,0.4111111111111111,1,3,positive,flight-lounge-good-boarding-time
ba first lounge terminal 5 zoo 2pm dirty tables used tableware everywhere worse usual atrocious boarding gate service boarding started 50 mins late flight operated finnair a320 barely low cost standard let alone business class hard thin uncomfortable seats poor legroom cabin simply tatty remain shocked ba allow time bas ceo management focused standards rather bean counting finnair cabin staff fundamentally courteous provide trimmed budget airline type service whole trip turned yet business class ticket one expensive recent trips thought post covid ba better months many cost cuts making fall well european full service airlines,-0.0897119341563785,1,2,negative,class-business-ba-first-food
paid quick visit nice yesterday heathrow decided go business class since last short haul flight economy real crush rather unpleasant paid 300 business class round trip went ba lounge terminal 5 crowded 630 morning decided drink stuck breakfast offering cooked options look appealing fresh fruit selection enjoyable subsequently discovered much nicer ba lounge closer gate b36 waited 40 mins boarding efficient got seated 2a 2c seat 2b blocked acted additional table seem difference width seat cramped seating economy may additional inch leg room think ba trying outdo easyjet terms frills would cost ba much supply business class passengers complimentary newspaper read flight inflight magazine longer available screens zero terms flight entertainment inflight wifi flaky best nonexistent times glad two hour flight really think fare paid worth money,0.2094696969696969,0,3,positive,flight-lounge-good-boarding-time
words fail describe last awful flight baby across aisle crying flight although horrible go without rest long flight lhrsfo understandable baby cry nonstop crew yakking loudly galley even polite notification conversation could heard cabin made flight unbearable rest sleep always difficult anyway westbound food bad turned whatever nasty offering 2nd service happened really nice tea scones ive said suffering ba concept customer service ie dont anything help passenger involves extra work time swear mean never ba please lounge packed even single traveler hard time finding seat poor ba skids downhill,-0.2279637896825396,1,0,negative,ba-airline-flight-service-one
absolutely terrible experience app would let check online repeatedly asked covid documents accept even provided trying fly back usa citizen app caused repeated errors went british airways customer service check told seat already given away another passenger even though plenty time also industrial action heathrow meaning number flights limited delayed 24 hours returning usa terrible app bad customer service gives away seats even paid passenger already airport,-0.2339285714285713,1,6,negative,airways-british-ba-flight-seats
ba overbook every flight maximise income regard customer means cannot check online kiosk airport queue even luggage makes easyjet ryanair look like customer champions server itsu ba terminal says stopped flying ba years ago due service bad time customers serves complaint staff dont care poor service unhappy customers routine occurrence,-0.2708333333333333,1,0,negative,ba-airline-flight-service-one
flights time except belfast london never staff efficient issue app could book seats tel aviv though tried month wanted pay ended middle seat even though window seat available flight seat front dividing barrier used thoroughfare service team throughout flight wasted money pe seat get hold ba customer service via app either ignored communication wont use,0.00625,1,6,negative,airways-british-ba-flight-seats
second time flying ba first time wasnt positive could made connection heathrow ba proactive instead overnight renaissance hotel compliments ba adequate one wonders large part hotel devoted sleeping feeding hundreds stranded passengers ba offered one employee help us get gate instead waiting shuttle bus half hour late arriving could made flight saved ba cost rebooking hotel shuttle food accommodations another bad show business class fare offer,0.0358225108225108,0,4,negative,flight-ba-us-hours-london
wasnt going bother reviewing flight seem perpetual downer ba airport experience convinced otherwise flight class reduced first business offered alternative route outward leg first make disappointment reneged special anniversary sucked flying back checked online chosen window seats gate show passports passport boarding hand luggage trying board passports checked twice issued new boarding cards centre seats unbelievable flight quiet half normal crew aircraft unavailable meant predeparture drinks limited selection food crew great earth going ba unique knack snatch defeat jaws victory every time say new club suites great,0.1446819384319384,1,3,positive,flight-lounge-good-boarding-time
booked business class tickets fiancé reschedule flight due unforeseen timing change called get flight refunded representative phone informed wasnt sure much would get refund department needed check estimated would lose 1020 booking fees accepted never got cancellation email update instead received 35 total back less 1 booking costs since spent 5 hours calling different departments blocked ive lost tremendous amount money nothing show,0.0712962962962962,1,6,negative,airways-british-ba-flight-seats
never travel british airways spent 10000 business class seat attend funeral uk first boeing 7879 cabin 7 seats across aisle getting reality premium economy seats narrow effectively business class seat cut half squeezed seats means passengers bump heads bulkhead stand many clamber others go toilet wakes passenger whole point business class pay rest privacy someone push top second food disgusting third service terrible fourth toilet tiny fifth inflight screen fixed high could see anything sixth baggage handling also appalling meaning taxi waiting 2 hours pay free airport transfers british airways seventh charging points work second leg london larger plane 4 seats across aisle bearable hopping people seat uncomfortable one piece means sleeping metal bar seat gap seat add insult injury find flights back sydney small plane book seat check 170 paid note 4 seats left got worst seat house going appalling airline service ever encountered point paying business class british airways,-0.0595098039215686,1,2,negative,class-business-ba-first-food
already portugal contacted today cancelled return flight 10 minutes late calling even though tried 2 hours get day unable get back kept 500 pounds customer service shocking intention helping,-0.45,1,4,negative,flight-ba-us-hours-london
terrible avoid airline becoming regular practice cancel flights cancellation switzerland forced us spend whole night cheap hotel fly next day another cancellation spain airline knows ask expensive prices,0.0049999999999999,1,4,negative,flight-ba-us-hours-london
despite gold member british airways staff heathrow literally could care slightest absolute turmoil logistical damage wider impact terrible service staff members repeat mantra obliged provide even update first 24 hours would make situation better proactive updates empathy care lot actual lies told tell given care thought passengers actual individuals show every action word say better suited working away humans,0.0386363636363636,1,4,negative,flight-ba-us-hours-london
regarding aircraft seat business class seats flight pretty good suite type every seat booth sliding door extra privacy downside travelling couple quite difficult interact ample storage usb charging ports seat pretty comfortable someone finds difficult sleep flights one times ive able get minutes sleep amenities provided pretty average compared airlines leather toiletry bag quite nice though slippers pair socks restrooms flight small dont provide much way toiletries compared airlines free wifi business class acceptable another example bas penny pinching recent years regarding staff customer service poor inattentive beyond meal times offer water flight go find attendant ask also offer snacks rude times partner asked fork replaced one provided quite clearly dirty attendant incredibly rude response left us shocked different customers seem receive different quality service customer behind repeatedly greeted politely name asked whether needed anything etc whereas partner afforded level personal service disappointing paid price tickets expect level service food pretty bad risotto partner chicken extremely cooked rice looked like porridge vegetables discoloured flavourless bread nice though breakfast wasnt much better summary ba become ryanair long haul customer service way would expect premium airline premium seat pay premium price average service options available would choose ba days,-0.0312765957446808,0,2,negative,class-business-ba-first-food
travelled british airways sweden los angeles via london december 2022 arrived lax one bags missing information whereabouts bag searching someone 30 minutes found point contact told bag left behind gave details would staying told would contact days still contact tried call british airways customer service woman airport didnt give file reference number quite difficult try locate bag finally found reference number bag said would delivered couple days told switched hotels gave address staying everything fine couple weeks went bag still nowhere seen time fly home airport tried talk personnel try locate bag said delivered first hotel stayed even though given updated address asked since flying home guy counter told wasnt problem figure questioned response walked away manager saw came apologized colleague would send someone fetch bag send either flight next one came home couple days later received bag made complaint claims british airways website since buy clothes toiletries vacation didnt bag january said would refund claims april almost may still received refund even multiple email conversations dont know anymore situation since appears one willing help appalled situation handled frankly disappointed british airways lack customer service,-0.0716666666666666,0,4,negative,flight-ba-us-hours-london
food lousy ever planning asian hindu vegetarian meal clueless meal includes snack also lousy took us 2 hours go t5 t3 clear security check place chaotic get boarding gate long line 40 minutes wait someone check passport boarding pass seats premium economy ok passenger front reclines little space window seat passenger cross overall good airline,-0.104375,0,3,negative,flight-lounge-good-boarding-time
worst experience flight london toronto got delayed missed connecting flight halifax four including infant toddler aged 4 years despite delayed missed connecting flight ground staff helpful waited hour get talk us 12 told us booked hotel us stay night asked go search hotel nice british airways least guys given consideration travelers travel children booked accommodation travel airline,-0.0033333333333333,1,4,negative,flight-ba-us-hours-london
ground staff helpful felt like wanted rush us check passengers needed waiting holding area bus anyway travelling child disability nightmare british airways logged complaint took almost four weeks answer lost luggage good experience,-0.2166666666666666,1,4,negative,flight-ba-us-hours-london
second time ba premium economy newer aircraft yet another excellent experience despite three hour delay missing connection hong kong pleasant flight seats spacious comfortable premium economy layout attitude cabin crew excellent food good communicate well rebooked connection flight brought peace mind pleasant experience ba premium economy major disappointment club world earlier year,0.3881060606060606,1,8,positive,good-flight-food-crew-cabin
changed flights brussels london heathrow lax 4162023 paid extra choose seats since cancelled never honored seat bought seated us totally different seats asked check employee rude told us understand different flight london lax worse nobody airport help us employees ba told us return next day flight rent hotel go terminal 3 sleep finally one employee help us gives voucher hotel nightmare airline missed one day work ba didnt return money paid previous chosen seats,-0.1195833333333333,0,4,negative,flight-ba-us-hours-london
copenhagen chaotic ticket counter assignment history airlines time board never changed fixed counter airport abysmal service needs vast improvement,0.15,0,6,positive,airways-british-ba-flight-seats
worst experience life trying deal customer service british airways many issues getting one destination absolutely horrible time trying get answers reach anyone capable helping navigate uncertainties wrote formal complaint requesting type refund received generic sorry email 5000 avios attached equivalent maybe 50 600 flight needless say go waste refuse fly untrustworthy incompetent unorganized airline couldnt even address one single issue expressed equivalent handing band aid slapping face say flight smooth onboard staff kind attentive frustrating thing customer service trained give runaround heavily point exhaustion give trying take loss,-0.0623214285714285,1,6,negative,airways-british-ba-flight-seats
due code sharing cathay pacific downgraded ba return leg cant describe cheated felt booked paid airline great entertainment food service instead forced go hungry one choice meal inedible ensure passengers didnt get funny ideas assume vegetarian option unavailable might given cracker small packet nuts cabin crew announced uniquely aggressive dismissive way wont get anything else 12 hours know entertainment compiled mainly b movies paid 11 wifi could watch netflix laptop unsurprisingly signal weak couldnt even send email add insult injury earbuds provided cheapest lowest quality ever seen since last time used airline crew less rude obnoxious impatient unhelpful dont understand seems british airways look characteristics desirable attributes crew,-0.0022321428571428,1,6,negative,airways-british-ba-flight-seats
lhr check quick first wing quickly security first lounge quiet change reasonably good breakfast buffet available ba brought back highlife magazine lounge seems used covid scrap magazines used offer part endless ba cost cutting toilets lounge disgusting ever cleaned frequently visit 20 years date public washrooms t5 better cleaner boarding usual ba muddled mess two gate staff appeared clue endless announcements gate full flight requesting passengers check bags get flight less 40 full onboard good welcome captain flight left gate 5 mins late breakfast 3 choices fair standard hot towels even packet towels offered club europe another part relentless ba cost cutting wouldnt mind fares proportionately lot higher pre covid cabin staff service perfunctory best scrap recognition ba gold oneworld emerald members clear proof ba really dont care breakfast trays cleared 45 mins flight sign staff stay front galley rest flight paid 499 1 hours wifi dropped connection next 40 mins sad note staff service ryanair pro active nowadays priority tagged suitcase came nearly last malaga standard ba business class baggage handling waste money club europe standards keep dropping,0.1114015151515151,1,3,positive,flight-lounge-good-boarding-time
wouldnt recommend british airways tried call customer service 3 times different days time waited 30 minutes phone ended hanging excusing high volume calls write email still waiting 2 weeks website difficult navigate easy really invoice proof receipt look another service sent online dont receive pdf file need proof flight need screenshots flight flown access booking reprint document try create pdf need contact customer service online long waiting time wait week receive expensive poor almost inexistent customer service difficult use website airline definitely wouldnt recommend shame 2023 still position sleeping competitors around,-0.0458333333333333,1,6,negative,airways-british-ba-flight-seats
absolutely horrible experience booked ticket expedia british airways operated flight madrid belfast changeover london heathrow whole itinerary listed ba although madrid london flight iberia jan 22nd london experiencing cold fog iberian flight sat tarmac 2 hours madrid london weather upon landing terminal 3 take bus terminal 5 flight last flight belfast evening already taken ba desk swamped people many people spend night due weather british airways staff said could go book hotel 200 pounds would reimbursed barely able find room take expensive cab however trying get reimbursement ba said wasnt problem iberias problem iberia said reimburse due weather complaining ba said market flight ba refuse reimburse absolutely disgusting behavior airline take responsibility flight using name sell people dont want take responsibility expect take bus back terminal 3 people gave false information,-0.1699999999999999,1,4,negative,flight-ba-us-hours-london
worst airline one thing went right dont understand got bad late take gate arrived bags took 40 minutes arrive horrendous,-0.4285714285714285,0,4,negative,flight-ba-us-hours-london
never fly british airways start plane 2 hours late weather reason given boarding process chaotic airport onto plane importantly although business class wasnt really business class aisles separated wayin simply put tray middle seat one sits seats like rest extremely cramped uncomfortable could believe called business class,-0.0386363636363636,1,2,negative,class-business-ba-first-food
worst aircraft ever flown seats cramped uncomfortable considering flights cost well 1000each expected little space money husbands knees rubbing seat front 10 hour flight acceptable food disgusting inedible hot food breakfast vile would entertain using ba ground staff great seating food offer lets airline expected much,-0.1493055555555555,1,2,negative,class-business-ba-first-food
enjoyed flight boarding swift service friendly professional food selection good enjoyed quality one downside landed issue ground crew ready t5 total landing getting doors open took 30 minutes believe heathrow t5 strike action week,0.25875,1,3,positive,flight-lounge-good-boarding-time
make hard lounge experience staff taking care boarding treated us disdain bordering contempt cant training would fear anything happening new club world suites huge step old product really deliver comfort privacy crew professional personally found food menu rather odd essentially one main could handle told ran rows,0.0370580808080808,1,8,negative,good-flight-food-crew-cabin
several delays canceled flights finally made copenhagen american airlines british airways flights luggage destroyed wheels torn buy new luggage denmark made claim british airways reimburse didnt receipt old luggage would cover 50 new luggage advice receipts old luggage prior flying dont get ripped like,0.0429752066115702,1,4,negative,flight-ba-us-hours-london
literally worst flight life booking tickets together partner separated sorry flight full flight took 45 minutes late apology trolley service took two hours periodically skipped rows response flippant rude whoops sure happened want genuinely appalling beginning end might well fly easy jet least charge price commensurate poor quality service like ba,-0.1180555555555555,0,6,negative,airways-british-ba-flight-seats
swore would never fly ba messed much trying get budapest times flights suited decided give another go flight left time cabin clean staff friendly even complimentary teacoffee breakfast bar economy flight pleasant enough cant think negatives write flight service certainly head shoulders trip easyjet,0.1789285714285714,1,0,positive,ba-airline-flight-service-one
obviously many airlines gone downhill recent years prices increased services gone disappointing thing ba aspects really dont need get worse check staff heathrow downright rude abusive shouting passengers line rolling eyes passengers get confused constant shouting bullying airlines competing globally behaviour particularly noticeable asia service industry next level wouldnt want suggest staff like many younger employees polite helpful however couple older staff downright rude obnoxious,0.0487654320987654,1,0,negative,ba-airline-flight-service-one
lost 3 4 checked bags denied wheelchair assistance lhr wife staff forced us change terminals foot rude staff ba297 lhr ord april 05 2023 ignored multiple times simply requested cup water walked couple attempts request water politely ba staff onboard yelled wife asked go back seat horrible flight disappointing staff customer service terrible online checkin never worked ba never verified covid documents uploaded advance resulting wife seated separately ive lost respect british airways disgusted,-0.42,1,4,negative,flight-ba-us-hours-london
flown ba many years time 10 years ago getting better sadly trip underlines slipped versus airlines booking time one scammed extortionate amount book seat heathrow t5 check queues unbelievably long staff bag drop curt say least lounges remain awful overcrowded ba invested many years flight food okay although portions kept minimal one days crew could give damn service mostly absent entire flight next time change ceo better recruiting aa second rate budget irish airline,0.0578125,1,0,negative,ba-airline-flight-service-one
boarding mumbai chaotic badly organised board crew announcements professional relaxed informative typical ba style seat quite comfortable refurbished aircraft padding materials quite good lucky middle seat empty didnt suffer new narrow seat think would made lot less comfortable ife excellent responsive good quality enormous selection tv movies good number games wifi also good quite netflix quality still reasonable dont think 1799 full flight bad value pay less want short term simple messaging cabin crew good friendly efficient catering reasonable although near 10hr flight small tasty pastry second meal service wasnt really enough landing processing heathrow astonishingly quick felt like 3am even though pm queues waiting even baggage super quick coming overall solid experience economy significantly better used,0.1846675084175084,1,8,positive,good-flight-food-crew-cabin
mexico city airport zoo taking late departure ba lhr isnt bad club passengers use aa admirals lounge surprisingly good busy seems cater bas club passengers time day lovely staff solid food bar really pleasant flew older 787 old style club seats seated front cabin 3 rows club window adjecant aisle seat really good travel partner come think really miss old style cutting edge layout better way fly couple last row front cabin window aisle seat unobstructed access aisle still terrible pay seats obvioulsy works happy getting seats flying ba crew good amazing service impecable flight right mix humor service attention food seemed good well hardly touched fine sleeping old club world seats although bedding could better time departure smooth flight early arrival heathrow went outside smoke returned terminal fast track security lhr always terrible today security staff busy chatting among bags went without secundary checks lovely shower spa fabulous facility south lounge crazy busy design disaster ever choose bizarre combination furniture mess food offer solid drinks home stretch amsterdam pretty straight forward lousy welcome door crew recovered well made everyone feel special excellent barcart service love doubleservings drinks english tea worst meal concepts world really dont understand ba stuck years noone like cucumber white bread things hey time landing amsterdam usual long taxi clumsy jet bridge connection ended 20 minute late arrival hard connect jetbridge amsterdam flying club ba still wonderful love,0.1302108555286521,0,3,positive,flight-lounge-good-boarding-time
poor service frustrating firstly flight lhr cancelled 16 mar23 got text message inform information desk unable confirm correct scam confirmed went counter get new boarding pass counter informed coach leaving 15mins hotel fellow travelers waited 45mins one coach stand guide us answer questions transfer hotel 30 mins away airport got hotel around pm staff informed dinner closes rush appeared motel hotel room smelling weed nonsmoker uncomfortable although wanted compromise rest went wash face tap sink came hands panicked asked reception staff change room discussion agreed change went alternate room horror occupied asked staff call cab left,-0.0798760330578512,1,4,negative,flight-ba-us-hours-london
