num_passengers,sales_channel,trip_type,purchase_lead,length_of_stay,flight_hour,flight_day,wants_extra_baggage,wants_preferred_seat,wants_in_flight_meals,flight_duration,booking_complete,booking_origin_0,booking_origin_1,booking_origin_2,booking_origin_3,booking_origin_4,booking_origin_5,booking_origin_6,route,route_0,route_1,route_2,route_3,route_4,route_5,route_6,route_7,route_8,route_9
1,0,0,190,27,14,7,1,0,1,6.62,0,0,0,0,0,1,0,1,AKLICN,0,0,0,0,0,0,0,1,0,0
4,0,0,311,27,6,6,0,1,0,6.62,0,0,0,0,0,0,0,1,AKLICN,0,0,0,0,0,0,0,1,0,0
1,0,0,27,56,7,5,1,0,1,6.62,0,0,0,0,0,1,0,1,AKLICN,0,0,0,0,0,0,0,1,0,0
2,0,0,314,43,10,7,0,0,0,6.62,0,0,0,0,0,0,0,1,AKLICN,0,0,0,0,0,0,0,1,0,0
1,0,0,25,29,11,3,1,0,1,6.62,0,0,0,0,0,1,0,1,AKLICN,0,0,0,0,0,0,0,1,0,0
1,0,0,102,110,6,2,1,0,0,6.62,0,0,0,0,0,1,0,1,AKLICN,0,0,0,0,0,0,0,1,0,0
1,0,0,24,19,8,1,1,0,1,6.62,0,0,0,0,0,1,0,1,AKLICN,0,0,0,0,0,0,0,1,0,0
1,0,0,2,165,3,1,1,0,0,7.0,0,0,0,0,0,1,1,0,AKLKIX,0,0,0,0,0,0,0,1,0,1
1,0,0,26,111,13,1,1,0,1,7.0,0,0,0,0,0,1,1,0,AKLKIX,0,0,0,0,0,0,0,1,0,1
1,0,0,32,34,23,7,0,0,0,7.0,0,0,0,0,0,0,0,1,AKLKIX,0,0,0,0,0,0,0,1,0,1
2,0,0,57,38,5,7,1,0,0,7.0,0,0,0,0,0,0,0,1,AKLKIX,0,0,0,0,0,0,0,1,0,1
1,0,0,198,207,10,7,1,0,1,7.0,0,0,0,0,0,1,1,0,AKLKIX,0,0,0,0,0,0,0,1,0,1
1,0,0,23,27,11,6,0,0,0,7.0,0,0,0,0,0,1,1,0,AKLKIX,0,0,0,0,0,0,0,1,0,1
1,0,0,33,20,6,5,1,0,0,4.75,0,0,0,0,0,0,0,1,AKLKTM,0,0,0,0,0,0,0,1,1,0
2,0,0,120,91,3,1,1,0,1,4.75,0,0,0,0,0,0,0,1,AKLKTM,0,0,0,0,0,0,0,1,1,0
2,0,0,69,34,4,4,1,0,0,4.75,0,0,0,0,0,0,0,1,AKLKTM,0,0,0,0,0,0,0,1,1,0
1,1,2,281,18,3,3,1,0,0,4.75,0,0,0,0,0,0,0,1,AKLKTM,0,0,0,0,0,0,0,1,1,0
1,0,2,282,18,19,2,1,0,0,4.75,0,0,0,0,0,0,0,1,AKLKTM,0,0,0,0,0,0,0,1,1,0
1,0,0,69,21,3,3,1,0,0,4.75,0,0,0,0,0,0,0,1,AKLKTM,0,0,0,0,0,0,0,1,1,0
1,0,1,67,1,10,2,1,0,0,4.75,0,0,0,0,0,0,0,1,AKLKTM,0,0,0,0,0,0,0,1,1,0
1,0,0,15,31,17,1,0,0,0,8.83,1,0,0,0,0,1,1,1,AKLKUL,0,0,0,0,0,0,0,1,1,1
1,0,0,31,274,10,2,1,0,0,8.83,0,0,0,0,0,1,1,1,AKLKUL,0,0,0,0,0,0,0,1,1,1
1,0,0,316,35,16,2,1,0,0,8.83,0,0,0,0,0,1,1,1,AKLKUL,0,0,0,0,0,0,0,1,1,1
2,0,0,232,17,3,2,1,1,1,8.83,0,0,0,0,0,1,1,1,AKLKUL,0,0,0,0,0,0,0,1,1,1
1,0,0,156,19,14,1,1,0,0,8.83,1,0,0,0,0,1,1,1,AKLKUL,0,0,0,0,0,0,0,1,1,1
1,0,0,196,44,23,2,1,0,0,8.83,0,0,0,0,0,0,0,1,AKLKUL,0,0,0,0,0,0,0,1,1,1
1,0,0,283,38,9,1,1,0,0,8.83,0,0,0,0,0,0,0,1,AKLKUL,0,0,0,0,0,0,0,1,1,1
1,0,0,34,24,5,5,1,0,0,8.83,0,0,0,0,0,0,0,1,AKLKUL,0,0,0,0,0,0,0,1,1,1
1,1,0,63,57,8,1,0,0,0,8.83,0,0,0,0,0,0,0,1,AKLKUL,0,0,0,0,0,0,0,1,1,1
1,0,0,5,18,4,2,0,0,0,8.83,0,0,0,0,0,0,0,1,AKLKUL,0,0,0,0,0,0,0,1,1,1
1,0,0,6,106,19,2,0,0,0,8.83,0,0,0,0,0,1,1,1,AKLKUL,0,0,0,0,0,0,0,1,1,1
1,0,0,227,68,2,5,1,1,0,8.83,0,0,0,0,0,1,1,1,AKLKUL,0,0,0,0,0,0,0,1,1,1
1,0,0,181,87,2,2,1,0,1,8.83,1,0,0,0,1,0,0,0,AKLKUL,0,0,0,0,0,0,0,1,1,1
1,0,0,8,33,3,2,0,0,0,8.83,0,0,0,0,0,0,0,1,AKLKUL,0,0,0,0,0,0,0,1,1,1
2,0,0,138,35,19,5,1,0,1,8.83,0,0,0,0,1,0,0,1,AKLKUL,0,0,0,0,0,0,0,1,1,1
1,0,0,134,37,20,3,0,1,0,8.83,0,0,0,0,0,0,0,1,AKLKUL,0,0,0,0,0,0,0,1,1,1
2,0,0,8,29,18,4,1,0,0,8.83,0,0,0,0,0,0,0,1,AKLKUL,0,0,0,0,0,0,0,1,1,1
1,0,0,23,51,13,5,1,0,1,8.83,0,0,0,0,0,0,0,1,AKLKUL,0,0,0,0,0,0,0,1,1,1
1,1,0,57,21,1,7,1,1,1,8.83,0,0,0,0,0,1,1,1,AKLKUL,0,0,0,0,0,0,0,1,1,1
2,0,0,85,19,0,1,1,1,0,8.83,0,0,0,0,0,0,0,1,AKLKUL,0,0,0,0,0,0,0,1,1,1
1,0,0,65,31,23,7,0,0,0,8.83,0,0,0,0,0,0,0,1,AKLKUL,0,0,0,0,0,0,0,1,1,1
1,0,1,27,1,13,2,1,1,0,8.83,0,0,0,0,0,0,0,1,AKLKUL,0,0,0,0,0,0,0,1,1,1
1,0,0,93,196,8,2,1,0,0,8.83,0,0,0,0,1,0,1,0,AKLKUL,0,0,0,0,0,0,0,1,1,1
1,1,0,16,77,8,1,0,0,1,8.83,0,0,0,0,0,0,0,1,AKLKUL,0,0,0,0,0,0,0,1,1,1
2,0,0,118,17,8,2,1,0,1,8.83,0,0,0,0,0,0,0,1,AKLKUL,0,0,0,0,0,0,0,1,1,1
2,0,0,90,20,7,4,0,0,1,8.83,0,0,0,0,0,1,1,1,AKLKUL,0,0,0,0,0,0,0,1,1,1
1,0,0,168,41,23,1,1,0,1,8.83,0,0,0,0,0,0,0,1,AKLKUL,0,0,0,0,0,0,0,1,1,1
1,1,0,127,17,16,2,1,0,1,8.83,1,0,0,0,0,1,1,1,AKLKUL,0,0,0,0,0,0,0,1,1,1
2,1,0,18,17,6,1,1,1,1,8.83,0,0,0,0,0,0,0,1,AKLKUL,0,0,0,0,0,0,0,1,1,1
1,0,0,153,30,10,2,1,1,0,8.83,0,0,0,0,0,0,0,1,AKLKUL,0,0,0,0,0,0,0,1,1,1
1,0,0,51,21,9,6,1,0,1,8.83,0,0,0,0,0,1,1,1,AKLKUL,0,0,0,0,0,0,0,1,1,1
2,0,0,186,27,2,2,1,1,1,8.83,0,0,0,0,0,0,0,1,AKLKUL,0,0,0,0,0,0,0,1,1,1
1,0,0,5,87,5,2,1,0,0,8.83,0,0,0,0,0,1,1,1,AKLKUL,0,0,0,0,0,0,0,1,1,1
1,0,0,65,278,2,4,0,0,0,8.83,0,0,0,0,0,1,1,1,AKLKUL,0,0,0,0,0,0,0,1,1,1
1,0,0,2,18,6,4,1,1,0,8.83,0,0,0,0,0,0,0,1,AKLKUL,0,0,0,0,0,0,0,1,1,1
1,0,0,263,58,4,7,0,1,0,8.83,0,0,0,0,0,1,1,1,AKLKUL,0,0,0,0,0,0,0,1,1,1
6,0,0,172,28,0,6,0,0,1,8.83,0,0,0,0,0,0,0,1,AKLKUL,0,0,0,0,0,0,0,1,1,1
1,0,0,161,108,2,4,1,1,0,8.83,0,0,0,0,0,0,0,1,AKLKUL,0,0,0,0,0,0,0,1,1,1
4,0,0,230,29,17,1,1,0,1,8.83,0,0,0,0,0,1,1,1,AKLKUL,0,0,0,0,0,0,0,1,1,1
1,0,0,7,21,0,1,0,0,0,8.83,0,0,0,0,1,0,1,1,AKLKUL,0,0,0,0,0,0,0,1,1,1
1,0,0,42,17,14,2,0,0,0,8.83,1,0,0,0,0,1,1,1,AKLKUL,0,0,0,0,0,0,0,1,1,1
1,0,0,71,29,10,5,1,0,0,8.83,0,0,0,0,0,0,0,1,AKLKUL,0,0,0,0,0,0,0,1,1,1
1,0,0,22,180,13,4,1,0,0,8.83,1,0,0,0,0,1,1,1,AKLKUL,0,0,0,0,0,0,0,1,1,1
1,0,0,81,21,4,5,1,0,0,8.83,0,0,0,0,0,0,0,1,AKLKUL,0,0,0,0,0,0,0,1,1,1
2,0,0,140,18,7,7,1,0,0,8.83,0,0,0,0,0,1,0,0,AKLKUL,0,0,0,0,0,0,0,1,1,1
1,1,0,42,72,14,6,0,0,1,8.83,0,0,0,0,0,0,0,1,AKLKUL,0,0,0,0,0,0,0,1,1,1
1,0,0,168,32,2,2,1,1,0,8.83,0,0,0,0,0,0,0,1,AKLKUL,0,0,0,0,0,0,0,1,1,1
1,0,0,285,30,12,3,1,1,1,8.83,0,0,0,0,1,1,0,0,AKLKUL,0,0,0,0,0,0,0,1,1,1
2,0,0,179,18,11,4,1,0,1,8.83,0,0,0,0,0,1,1,1,AKLKUL,0,0,0,0,0,0,0,1,1,1
2,0,0,341,21,10,6,1,0,0,8.83,0,0,0,0,0,0,0,1,AKLKUL,0,0,0,0,0,0,0,1,1,1
2,0,0,96,51,3,4,1,0,1,8.83,0,0,0,0,0,0,0,1,AKLKUL,0,0,0,0,0,0,0,1,1,1
4,0,0,173,17,1,4,1,0,1,8.83,0,0,0,0,0,0,0,1,AKLKUL,0,0,0,0,0,0,0,1,1,1
1,0,0,180,24,9,3,0,1,1,8.83,0,0,0,0,0,0,0,1,AKLKUL,0,0,0,0,0,0,0,1,1,1
4,0,0,366,17,16,7,1,0,1,8.83,0,0,0,0,0,1,1,1,AKLKUL,0,0,0,0,0,0,0,1,1,1
3,0,0,229,17,13,1,1,1,1,8.83,1,0,0,0,0,1,1,1,AKLKUL,0,0,0,0,0,0,0,1,1,1
2,0,0,174,61,11,2,1,0,1,8.83,0,0,0,0,0,1,1,1,AKLKUL,0,0,0,0,0,0,0,1,1,1
2,0,0,82,25,18,5,1,0,0,8.83,0,0,0,0,1,1,0,0,AKLKUL,0,0,0,0,0,0,0,1,1,1
1,0,0,75,62,6,1,0,0,0,8.83,0,0,0,0,0,1,1,1,AKLKUL,0,0,0,0,0,0,0,1,1,1
2,0,0,163,21,10,1,1,0,0,8.83,0,0,0,0,0,0,0,1,AKLKUL,0,0,0,0,0,0,0,1,1,1
1,0,0,105,21,8,5,1,0,0,8.83,0,0,0,0,0,0,0,1,AKLKUL,0,0,0,0,0,0,0,1,1,1
2,0,0,276,45,6,1,1,0,1,8.83,0,0,0,0,0,0,0,1,AKLKUL,0,0,0,0,0,0,0,1,1,1
1,0,0,35,31,3,4,1,0,0,8.83,0,0,0,0,0,0,0,1,AKLKUL,0,0,0,0,0,0,0,1,1,1
1,0,0,110,26,23,3,1,0,0,8.83,0,0,0,0,0,0,0,1,AKLKUL,0,0,0,0,0,0,0,1,1,1
1,0,0,83,44,3,6,1,0,0,8.83,0,0,0,0,0,1,1,1,AKLKUL,0,0,0,0,0,0,0,1,1,1
1,1,0,154,25,22,1,1,0,0,8.83,0,0,0,0,0,1,1,1,AKLKUL,0,0,0,0,0,0,0,1,1,1
1,0,0,118,19,1,2,1,0,1,8.83,0,0,0,0,0,0,0,1,AKLKUL,0,0,0,0,0,0,0,1,1,1
1,0,0,55,20,22,3,0,0,0,8.83,0,0,0,0,0,0,0,1,AKLKUL,0,0,0,0,0,0,0,1,1,1
1,1,0,45,35,1,6,0,0,0,8.83,0,0,0,0,0,0,0,1,AKLKUL,0,0,0,0,0,0,0,1,1,1
1,0,0,54,23,4,7,0,0,1,8.83,0,0,0,0,0,0,0,1,AKLKUL,0,0,0,0,0,0,0,1,1,1
1,0,0,193,19,13,2,0,0,0,8.83,0,0,0,0,0,1,1,1,AKLKUL,0,0,0,0,0,0,0,1,1,1
1,0,0,10,91,23,2,1,0,0,8.83,1,0,0,0,1,0,0,0,AKLKUL,0,0,0,0,0,0,0,1,1,1
1,0,0,166,18,20,3,1,0,1,8.83,0,0,0,0,0,0,0,1,AKLKUL,0,0,0,0,0,0,0,1,1,1
1,0,0,97,25,9,7,1,0,0,8.83,0,0,0,0,0,1,1,1,AKLKUL,0,0,0,0,0,0,0,1,1,1
5,0,0,239,17,12,4,1,0,1,8.83,0,0,0,0,0,1,1,1,AKLKUL,0,0,0,0,0,0,0,1,1,1
2,0,0,97,50,8,6,1,1,1,8.83,0,0,0,0,0,0,0,1,AKLKUL,0,0,0,0,0,0,0,1,1,1
1,0,0,182,28,10,7,0,0,1,8.83,0,0,0,0,1,1,0,1,AKLKUL,0,0,0,0,0,0,0,1,1,1
1,0,0,99,21,13,7,0,0,0,8.83,1,0,0,0,1,0,0,0,AKLKUL,0,0,0,0,0,0,0,1,1,1
1,0,0,23,59,9,2,1,0,1,8.83,0,0,0,0,0,0,0,1,AKLKUL,0,0,0,0,0,0,0,1,1,1
1,1,0,53,18,9,1,1,1,0,8.83,0,0,0,0,0,1,1,1,AKLKUL,0,0,0,0,0,0,0,1,1,1
1,0,0,28,125,12,6,0,0,0,8.83,0,0,0,0,0,1,1,1,AKLKUL,0,0,0,0,0,0,0,1,1,1
1,0,0,384,18,5,4,0,0,0,8.83,0,0,0,0,0,1,1,1,AKLKUL,0,0,0,0,0,0,0,1,1,1
2,0,0,22,27,23,5,1,0,1,8.83,0,0,0,0,0,0,0,1,AKLKUL,0,0,0,0,0,0,0,1,1,1
1,0,0,70,106,3,4,1,0,1,8.83,0,0,0,0,0,1,1,1,AKLKUL,0,0,0,0,0,0,0,1,1,1
1,0,0,126,28,20,7,1,0,0,8.83,0,0,0,0,1,0,1,0,AKLKUL,0,0,0,0,0,0,0,1,1,1
1,0,0,8,45,8,2,0,0,0,8.83,0,0,0,0,0,1,1,1,AKLKUL,0,0,0,0,0,0,0,1,1,1
2,0,0,51,29,11,7,1,0,1,8.83,0,0,0,0,0,0,0,1,AKLKUL,0,0,0,0,0,0,0,1,1,1
1,0,0,142,124,9,3,1,0,0,8.83,1,0,0,0,0,1,1,1,AKLKUL,0,0,0,0,0,0,0,1,1,1
1,0,0,87,33,9,6,1,0,0,8.83,0,0,0,0,1,1,1,0,AKLKUL,0,0,0,0,0,0,0,1,1,1
5,1,0,238,21,8,5,1,1,1,8.83,0,0,0,0,0,0,0,1,AKLKUL,0,0,0,0,0,0,0,1,1,1
2,0,0,86,34,0,6,1,0,0,8.83,0,0,0,0,0,0,0,1,AKLKUL,0,0,0,0,0,0,0,1,1,1
1,1,0,313,35,20,6,1,0,0,8.83,0,0,0,0,0,0,0,1,AKLKUL,0,0,0,0,0,0,0,1,1,1
2,0,0,41,20,20,7,1,1,1,8.83,0,0,0,0,1,1,1,1,AKLKUL,0,0,0,0,0,0,0,1,1,1
1,0,0,91,46,8,3,1,1,1,8.83,0,0,0,0,0,0,0,1,AKLKUL,0,0,0,0,0,0,0,1,1,1
1,1,0,41,21,12,2,1,0,0,8.83,0,0,0,0,0,1,1,1,AKLKUL,0,0,0,0,0,0,0,1,1,1
1,0,0,82,33,10,2,1,0,0,8.83,0,0,0,0,0,0,0,1,AKLKUL,0,0,0,0,0,0,0,1,1,1
5,0,0,206,17,13,7,1,0,0,8.83,0,0,0,0,0,1,1,1,AKLKUL,0,0,0,0,0,0,0,1,1,1
4,0,0,6,55,5,4,1,1,0,8.83,0,0,0,0,0,0,0,1,AKLKUL,0,0,0,0,0,0,0,1,1,1
5,0,0,197,18,10,5,1,0,1,8.83,0,0,0,0,0,1,1,1,AKLKUL,0,0,0,0,0,0,0,1,1,1
1,0,0,34,22,13,2,1,0,1,8.83,1,0,0,0,0,1,1,1,AKLKUL,0,0,0,0,0,0,0,1,1,1
2,0,0,112,21,17,2,1,0,0,8.83,0,0,0,0,0,1,1,1,AKLKUL,0,0,0,0,0,0,0,1,1,1
2,0,0,268,47,1,1,1,0,1,8.83,0,0,0,0,0,0,0,1,AKLKUL,0,0,0,0,0,0,0,1,1,1
1,0,0,157,26,15,1,1,0,1,8.83,0,0,0,1,0,0,0,0,AKLKUL,0,0,0,0,0,0,0,1,1,1
2,0,0,145,51,4,3,1,1,1,8.83,0,0,0,0,0,1,1,1,AKLKUL,0,0,0,0,0,0,0,1,1,1
4,0,0,241,24,9,1,0,0,0,8.83,0,0,0,0,0,0,0,1,AKLKUL,0,0,0,0,0,0,0,1,1,1
1,0,0,172,17,9,5,0,0,1,8.83,0,0,0,1,0,0,0,1,AKLKUL,0,0,0,0,0,0,0,1,1,1
1,0,0,99,19,7,3,0,0,0,8.83,0,0,0,0,0,1,1,1,AKLKUL,0,0,0,0,0,0,0,1,1,1
1,1,0,139,22,8,7,1,0,1,8.83,0,0,0,0,0,0,0,1,AKLKUL,0,0,0,0,0,0,0,1,1,1
1,0,0,59,35,13,7,0,1,0,8.83,1,0,0,0,0,1,1,1,AKLKUL,0,0,0,0,0,0,0,1,1,1
1,0,0,396,23,9,1,1,0,1,8.83,0,0,0,0,0,0,0,1,AKLKUL,0,0,0,0,0,0,0,1,1,1
2,0,0,280,18,23,2,1,0,1,8.83,0,0,0,0,0,1,1,1,AKLKUL,0,0,0,0,0,0,0,1,1,1
1,0,0,79,23,10,2,0,0,0,8.83,0,0,0,0,0,1,1,1,AKLKUL,0,0,0,0,0,0,0,1,1,1
1,0,0,37,26,21,3,1,0,0,8.83,0,0,0,0,0,0,0,1,AKLKUL,0,0,0,0,0,0,0,1,1,1
2,0,0,69,19,17,6,1,0,0,8.83,0,0,0,1,0,0,1,0,AKLKUL,0,0,0,0,0,0,0,1,1,1
1,0,0,380,21,21,4,1,1,0,8.83,0,0,0,0,0,0,0,1,AKLKUL,0,0,0,0,0,0,0,1,1,1
5,0,0,206,17,13,7,1,0,0,8.83,0,0,0,0,0,1,1,1,AKLKUL,0,0,0,0,0,0,0,1,1,1
1,0,0,13,27,1,3,1,0,1,8.83,0,0,0,0,0,0,0,1,AKLKUL,0,0,0,0,0,0,0,1,1,1
1,0,0,229,31,2,5,0,0,1,8.83,0,0,0,0,0,0,0,1,AKLKUL,0,0,0,0,0,0,0,1,1,1
1,0,0,132,20,9,1,1,0,0,8.83,0,0,0,1,0,0,1,1,AKLKUL,0,0,0,0,0,0,0,1,1,1
4,0,0,121,18,6,7,1,1,1,8.83,0,0,0,0,0,1,1,1,AKLKUL,0,0,0,0,0,0,0,1,1,1
4,0,0,316,22,14,4,1,0,0,8.83,1,0,0,0,0,1,1,1,AKLKUL,0,0,0,0,0,0,0,1,1,1
5,0,0,67,35,2,2,1,1,1,8.83,1,0,0,0,0,1,1,1,AKLKUL,0,0,0,0,0,0,0,1,1,1
1,0,0,419,21,16,7,1,0,0,8.83,0,0,0,0,0,1,1,1,AKLKUL,0,0,0,0,0,0,0,1,1,1
